Heiss_Region,Heiss_Region_Definition,Heiss_Category,Siletti_RegionsThatMap,Siletti_RegionsExpanded,SilettiROIGroupCoarse,Match_Quality,Boundary_Ambiguity_Flag,Definition_Confidence,Notes,Source_URLs
Cerebral cortex (global average),Global cerebral cortical FDG rCMRGlc average reported by Heiss; exact cortical template components are not enumerated in the paper.,Cortex (whole),Human A1C; Human A13; Human A14; Human A19; Human A23; Human A24; Human A25; Human A29-A30; Human A32; Human A35-A36; Human A35r; Human A38; Human A40; Human A43; Human A44-A45; Human A46; Human A5-A7; Human FI; Human Idg; Human Ig; Human ITG; Human LEC; Human M1C; Human MEC; Human MTG; Human Pir; Human Pro; Human S1C; Human STG; Human TF; Human TH-TL; Human V1C; Human V2; Human AON,"A1C = Primary auditory cortex (Transverse temporal gyrus; cerebral cortex); A13 = Brodmann area 13 (Posterior intermediate orbital gyrus; caudal orbital frontal cortex); A14 = Brodmann area 14 (Gyrus rectus; medial orbitofrontal cortex); A19 = Brodmann area 19 (Superior occipital gyrus; areas 19 and MT / visual association cortex); A23 = Brodmann area 23 (Caudal cingulate gyrus / posterior cingulate cortex); A24 = Brodmann area 24 (Rostral cingulate gyrus; ventral medial frontal cortex / anterior cingulate region); A25 = Brodmann area 25 (Subcallosal gyrus; subgenual/subcallosal medial frontal cortex); A29-A30 = Brodmann areas 29 and 30 (Retrosplenial cingulate cortex / retrosplenial region); A32 = Brodmann area 32 (Rostral gyrus; dorsal medial frontal cortex / dorsal anterior cingulate-medial prefrontal region); A35-A36 = Brodmann areas 35 and 36 (Perirhinal gyrus / perirhinal cortex); A35r = Rostral subdivision of Brodmann area 35 (Perirhinal cortex); A38 = Brodmann area 38 (Temporal pole / temporopolar cortex); A40 = Brodmann area 40 (Supramarginal gyrus; inferior parietal lobule); A43 = Brodmann area 43 (Parietal operculum / gustatory cortex); A44-A45 = Brodmann areas 44 and 45 (Inferior frontal gyrus; ventrolateral prefrontal cortex / Broca-region cortex); A46 = Brodmann area 46 (Middle frontal gyrus / dorsolateral prefrontal cortex); A5-A7 = Brodmann areas 5 and 7 (Superior parietal lobule; posterosuperior/dorsal parietal cortex); FI = Frontal agranular insular cortex (Frontal insula / agranular insular cortex); Idg = Dysgranular insular cortex (Long insular gyri; HCA ontology label shown as agranular insular cortex); Ig = Granular insular cortex (Short insular gyri); ITG = Inferior temporal gyrus (Temporal neocortex); LEC = Lateral entorhinal cortex (Anterior parahippocampal gyrus); M1C = Primary motor cortex (Precentral gyrus); MEC = Medial entorhinal cortex (Anterior parahippocampal gyrus, posterior part); MTG = Middle temporal gyrus (Temporal neocortex); Pir = Piriform cortex (Paleocortex); Pro = Area prostriata (Rostral cuneus / cuneus cortex, near the parieto-occipital boundary); S1C = Primary somatosensory cortex (Postcentral gyrus); STG = Superior temporal gyrus (Temporal neocortex); TF = Temporal area TF (Temporal part of occipitotemporal/fusiform gyrus); TH-TL = Parahippocampal areas TH and TL (Posterior parahippocampal gyrus); V1C = Primary visual cortex (Lingual gyrus / calcarine region); V2 = Secondary / extrastriate visual cortex (Caudal cuneus; peristriate cortex); AON = Anterior olfactory nucleus (Paleocortex / olfactory cortex)",Cerebral cortex,Coarse-OK,YELLOW,Moderate,"Heiss reports a global cerebral cortex average, but the paper does not enumerate which cortical template parcels contribute. It explicitly reports hippocampus and insular lobe separately from lobar cortex. Treat this as a broad cortex-level comparison only; paleocortex/olfactory and entorhinal/parahippocampal Siletti regions may not be homologous to the Heiss cortical template without checking the cited cortical-template source.",https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Frontal lobe,Lobar cortical VOI corresponding to frontal cortex.,Cortex (lobar),Human A14; Human A24; Human A25; Human A32; Human A44-A45; Human A46; Human M1C,A14 = Brodmann area 14 (Gyrus rectus; medial orbitofrontal cortex); A24 = Brodmann area 24 (Rostral cingulate gyrus; ventral medial frontal cortex / anterior cingulate region); A25 = Brodmann area 25 (Subcallosal gyrus; subgenual/subcallosal medial frontal cortex); A32 = Brodmann area 32 (Rostral gyrus; dorsal medial frontal cortex / dorsal anterior cingulate-medial prefrontal region); A44-A45 = Brodmann areas 44 and 45 (Inferior frontal gyrus; ventrolateral prefrontal cortex / Broca-region cortex); A46 = Brodmann area 46 (Middle frontal gyrus / dorsolateral prefrontal cortex); M1C = Primary motor cortex (Precentral gyrus),Cerebral cortex,Coarse-OK,YELLOW,High,"Heiss separates the insular lobe from frontal/temporal/parietal lobar rows, so do not include FI/Idg/Ig here. A24/A25/A32 remain unresolved because Heiss does not give the cortical-template boundary rules; these medial wall/cingulate regions may be treated as frontal or cingulate/limbic depending on the template.",https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Parietal lobe,Lobar cortical VOI corresponding to parietal cortex.,Cortex (lobar),Human A40; Human A43; Human A5-A7,A40 = Brodmann area 40 (Supramarginal gyrus; inferior parietal lobule); A43 = Brodmann area 43 (Parietal operculum / gustatory cortex); A5-A7 = Brodmann areas 5 and 7 (Superior parietal lobule; posterosuperior/dorsal parietal cortex),Cerebral cortex,Coarse-OK,YELLOW,High,"Broad lobar match. A43/gustatory-opercular cortex remains a boundary ambiguity because Heiss does not specify whether it is parietal, opercular, or insular in the cortical template. Heiss does separately report insular lobe, so insular parcels should not be included here.",https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Temporal lobe,Lobar cortical VOI corresponding to temporal cortex; Heiss reports hippocampus and insula separately.,Cortex (lobar),Human A1C; Human A38; Human ITG; Human MTG; Human STG; Human TF,A1C = Primary auditory cortex (Transverse temporal gyrus; cerebral cortex); A38 = Brodmann area 38 (Temporal pole / temporopolar cortex); ITG = Inferior temporal gyrus (Temporal neocortex); MTG = Middle temporal gyrus (Temporal neocortex); STG = Superior temporal gyrus (Temporal neocortex); TF = Temporal area TF (Temporal part of occipitotemporal/fusiform gyrus),Cerebral cortex,Coarse-OK,YELLOW,High,"Resolved in part by Heiss: Temporal lobe, Insular lobe, and Hippocampus are distinct rows. Use temporal neocortical/gyral Siletti regions only. Do not include hippocampus or insula. Do not include LEC, MEC, A35-A36, A35r, or TH-TL unless you explicitly decide that the Heiss temporal cortical template includes parahippocampal/entorhinal cortex; Heiss itself does not resolve that boundary.",https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Occipital lobe,Lobar cortical VOI corresponding to occipital cortex.,Cortex (lobar),Human A19; Human Pro; Human V1C; Human V2,"A19 = Brodmann area 19 (Superior occipital gyrus; areas 19 and MT / visual association cortex); Pro = Area prostriata (Rostral cuneus / cuneus cortex, near the parieto-occipital boundary); V1C = Primary visual cortex (Lingual gyrus / calcarine region); V2 = Secondary / extrastriate visual cortex (Caudal cuneus; peristriate cortex)",Cerebral cortex,Good,GREEN,Moderate,"Clean lobar match. Pro/area prostriata lies near the cuneus/parieto-occipital boundary, but Heiss gives no finer cortical-template rule.",https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Insular lobe,"Cortical VOI corresponding to insular cortex, reported separately from lobar frontal/temporal/parietal cortex.",Cortex (insula),Human FI; Human Idg; Human Ig,FI = Frontal agranular insular cortex (Frontal insula / agranular insular cortex); Idg = Dysgranular insular cortex (Long insular gyri; HCA ontology label shown as agranular insular cortex); Ig = Granular insular cortex (Short insular gyri),Cerebral cortex,Good,GREEN,Moderate,"Heiss treats insular lobe as its own row, separate from frontal/temporal/parietal cortex. Siletti splits insula into FI, Idg, and Ig; use these as a direct many-to-one insular match and do not double-count them in lobar cortical rows.",https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Hippocampus,Allocortical hippocampal VOI reported separately from temporal neocortex.,Allocortex (limbic),Human CA1R-CA2R; Human CA1R-CA2R-CA3R; Human CA3R; Human DGR-CA4Rpy; Human Sub; Human CA1U; Human CA1-3; Human CA1U-CA2U-CA3U; Human CA2U-CA3U; Human DGU-CA4Upy; Human CA1C-CA3C; Human CA4C-DGC; Human Sub (tail),"CA1R-CA2R = Rostral CA1-CA2 hippocampal fields (Body of hippocampus; rostral CA1-2); CA1R-CA2R-CA3R = Rostral CA1-CA3 hippocampal fields (Body of hippocampus; rostral CA1-3); CA3R = Rostral CA3 hippocampal field (Body of hippocampus; rostral CA3); DGR-CA4Rpy = Rostral dentate gyrus / CA4 pyramidal subfield (Body of hippocampus; rostral DG-CA4); Sub = Subicular cortex / subicular complex (Head/tail of hippocampus); CA1U = Uncal CA1 hippocampal field (Head of hippocampus; uncal CA1); CA1-3 = CA1-CA3 hippocampal fields (Caudal hippocampus / hippocampal tail in HCA label); CA1U-CA2U-CA3U = Uncal CA1-CA3 hippocampal fields (Head of hippocampus; uncal CA1-3); CA2U-CA3U = Uncal CA2-CA3 hippocampal fields (Head of hippocampus; uncal CA2-3); DGU-CA4Upy = Uncal dentate gyrus / CA4 pyramidal subfield (Head of hippocampus; uncal DG-CA4); CA1C-CA3C = Caudal CA1-CA3 hippocampal fields (Tail of hippocampus; caudal hippocampus); CA4C-DGC = Caudal CA4 plus dentate gyrus complex (Tail of hippocampus; caudal hippocampus); Sub (tail) = Subicular cortex, hippocampal tail (Tail of hippocampus / caudal subicular complex)",Hippocampus,Good,GREEN,Moderate,"Heiss separates Hippocampus from Temporal lobe and discusses it as allocortex rather than neocortex. Match to Siletti hippocampal subfields only. Entorhinal/parahippocampal regions such as LEC, MEC, A35-A36, A35r, and TH-TL are not explicitly resolved by Heiss and should not be silently folded into the Heiss hippocampus row.",https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Forebrain nuclei,"Section heading in Heiss Table 1, not a measured aggregate region.",Subcortical aggregate,(not a measured Heiss data row),"No Siletti acronym: Heiss row is a section heading, not a measured region.",---,Header/Do not use,RED,Not applicable,"Do not use in regression. In Heiss Table 1, Forebrain nuclei is a section heading, not a measured aggregate. Use the individually reported rows below it, e.g. caudatum, putamen, nucleus accumbens, pallidum, thalamic/geniculated/subthalamic nuclei, basal forebrain, and amygdala.",https://pubmed.ncbi.nlm.nih.gov/15534048/
Caudatum,Caudate nucleus; Heiss does not subdivide head/body/tail.,Subcortical (basal nuclei),Human CaB,CaB = Body of caudate nucleus (Basal nuclei),Cerebral nuclei,Coarse-OK,YELLOW,High,"Heiss reports caudatum without head/body/tail subdivision. Siletti CaB appears to represent caudate body only, so this is not a complete whole-caudate match unless the missing caudate subdivisions are absent from the Siletti comparison or are handled elsewhere.",https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Putamen,Putamen.,Subcortical (basal nuclei),Human Pu,Pu = Putamen (Basal nuclei),Cerebral nuclei,Good,GREEN,High,Direct 1-to-1 match.,https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
