Heiss_Region,Heiss_Category,Siletti_RegionsThatMap,SilettiROIGroupCoarse,Match_Quality,Boundary_Ambiguity_Flag,Notes
Cerebral cortex (global average),Cortex (whole),Human A1C; Human A13; Human A14; Human A19; Human A23; Human A24; Human A25; Human A29-A30; Human A32; Human A35-A36; Human A35r; Human A38; Human A40; Human A43; Human A44-A45; Human A46; Human A5-A7; Human FI; Human Idg; Human Ig; Human ITG; Human LEC; Human M1C; Human MEC; Human MTG; Human Pir; Human Pro; Human S1C; Human STG; Human TF; Human TH-TL; Human V1C; Human V2; Human AON,Cerebral cortex,Coarse-OK,YELLOW,"Heiss reports a global cerebral cortex average, but the paper does not enumerate which cortical template parcels contribute. It explicitly reports hippocampus and insular lobe separately from lobar cortex. Treat this as a broad cortex-level comparison only; paleocortex/olfactory and entorhinal/parahippocampal Siletti regions may not be homologous to the Heiss cortical template without checking the cited cortical-template source."
Frontal lobe,Cortex (lobar),Human A14; Human A24; Human A25; Human A32; Human A44-A45; Human A46; Human M1C,Cerebral cortex,Coarse-OK,YELLOW,"Heiss separates the insular lobe from frontal/temporal/parietal lobar rows, so do not include FI/Idg/Ig here. A24/A25/A32 remain unresolved because Heiss does not give the cortical-template boundary rules; these medial wall/cingulate regions may be treated as frontal or cingulate/limbic depending on the template."
Parietal lobe,Cortex (lobar),Human A40; Human A43; Human A5-A7,Cerebral cortex,Coarse-OK,YELLOW,"Broad lobar match. A43/gustatory-opercular cortex remains a boundary ambiguity because Heiss does not specify whether it is parietal, opercular, or insular in the cortical template. Heiss does separately report insular lobe, so insular parcels should not be included here."
Temporal lobe,Cortex (lobar),Human A1C; Human A38; Human ITG; Human MTG; Human STG; Human TF,Cerebral cortex,Coarse-OK,YELLOW,"Resolved in part by Heiss: Temporal lobe, Insular lobe, and Hippocampus are distinct rows. Use temporal neocortical/gyral Siletti regions only. Do not include hippocampus or insula. Do not include LEC, MEC, A35-A36, A35r, or TH-TL unless you explicitly decide that the Heiss temporal cortical template includes parahippocampal/entorhinal cortex; Heiss itself does not resolve that boundary."
Occipital lobe,Cortex (lobar),Human A19; Human Pro; Human V1C; Human V2,Cerebral cortex,Good,GREEN,"Clean lobar match. Pro/area prostriata lies near the cuneus/parieto-occipital boundary, but Heiss gives no finer cortical-template rule."
Insular lobe,Cortex (insula),Human FI; Human Idg; Human Ig,Cerebral cortex,Good,GREEN,"Heiss treats insular lobe as its own row, separate from frontal/temporal/parietal cortex. Siletti splits insula into FI, Idg, and Ig; use these as a direct many-to-one insular match and do not double-count them in lobar cortical rows."
Hippocampus,Allocortex (limbic),Human CA1R-CA2R; Human CA1R-CA2R-CA3R; Human CA3R; Human DGR-CA4Rpy; Human Sub; Human CA1U; Human CA1-3; Human CA1U-CA2U-CA3U; Human CA2U-CA3U; Human DGU-CA4Upy; Human CA1C-CA3C; Human CA4C-DGC; Human Sub (tail),Hippocampus,Good,GREEN,"Heiss separates Hippocampus from Temporal lobe and discusses it as allocortex rather than neocortex. Match to Siletti hippocampal subfields only. Entorhinal/parahippocampal regions such as LEC, MEC, A35-A36, A35r, and TH-TL are not explicitly resolved by Heiss and should not be silently folded into the Heiss hippocampus row."
Forebrain nuclei,Subcortical aggregate,(not a measured Heiss data row),---,Header/Do not use,RED,"Do not use in regression. In Heiss Table 1, Forebrain nuclei is a section heading, not a measured aggregate. Use the individually reported rows below it, e.g. caudatum, putamen, nucleus accumbens, pallidum, thalamic/geniculated/subthalamic nuclei, basal forebrain, and amygdala."
Caudatum,Subcortical (basal nuclei),Human CaB,Cerebral nuclei,Coarse-OK,YELLOW,"Heiss reports caudatum without head/body/tail subdivision. Siletti CaB appears to represent caudate body only, so this is not a complete whole-caudate match unless the missing caudate subdivisions are absent from the Siletti comparison or are handled elsewhere."
Putamen,Subcortical (basal nuclei),Human Pu,Cerebral nuclei,Good,GREEN,Direct 1-to-1 match.
Nucleus accumbens,Subcortical (basal nuclei),Human NAC,Cerebral nuclei,Good,GREEN,Direct 1-to-1 match.
Pallidum,Subcortical (basal nuclei),Human GPe; Human GPi; Human Gpe,Cerebral nuclei,Coarse-OK,GREEN,Heiss reports whole pallidum; Siletti splits into GPe/GPi (and a duplicate 'Gpe' row). Sum or average Siletti subdivisions to compare.
Nucleus medial thalami,Subcortical (thalamus),Human MD; Human MD-Re,Thalamus,Coarse-OK,YELLOW,"Likely maps to mediodorsal/medial thalamic Siletti labels MD and MD-Re, but Heiss reports 'nucleus medial thalami' without enumerating thalamic subnuclei. Confirm against the stereotactic atlas conventions if this row is high leverage."
Corpus geniculatum laterale,Subcortical (thalamus posterior),Human LG,Thalamus,Good,GREEN,LGN - direct 1-to-1 match.
Corpus geniculatum mediale,Subcortical (thalamus posterior),Human MG,Thalamus,Good,GREEN,MGN - direct 1-to-1 match.
Nucleus subthalamicus,Subcortical (subthalamic),Human STH,Thalamus in Siletti; anatomical subthalamus/diencephalon,Good,YELLOW,"Direct STH match, but note the nomenclature mismatch: Siletti's coarse group places STH under Thalamus, whereas Heiss groups subthalamic nucleus with diencephalic structures rather than thalamus proper. Keep STH as its own subthalamic/diencephalic row, not as part of Heiss medial thalamus."
Basal forebrain,Subcortical (basal forebrain),Human SI; Human SEP,Cerebral nuclei,Coarse-OK,YELLOW,"Mapping SI plus SEP to Heiss basal forebrain is defensible but not fully specified by Heiss. Heiss links basal forebrain to nucleus basalis of Meynert and cites Mesulam et al. for basal forebrain cholinergic components including septal area, diagonal band, nucleus basalis/substantia innominata, and hypothalamus. Heiss does not enumerate the exact VOI composition."
Corpus amygdaloideum,Subcortical (amygdala),Human BL; Human BM; Human CEN; Human CMN; Human CoA; Human La,Cerebral nuclei,Good,GREEN,Heiss whole amygdala; Siletti splits into 6 subnuclei. Sum or weight by subnuclear volume.
Brain stem nuclei,Brainstem aggregate,(not a measured Heiss data row),---,Header/Do not use,RED,"Do not use in regression. In Heiss Table 1, Brain stem nuclei is a section heading, not a measured aggregate. Use only the individually measured rows: colliculus inferior, colliculus superior, substantia nigra, and nucleus ruber."
Colliculus inferior,Brainstem (midbrain),Human IC,Midbrain,Good,GREEN,Direct 1-to-1 match.
Colliculus superior,Brainstem (midbrain),Human SC,Midbrain,Good,GREEN,Direct 1-to-1 match.
Substantia nigra,Brainstem (midbrain),Human SN; Human SN-RN,Midbrain,Coarse-OK,YELLOW,"Direct SN component match, but Siletti also has a combined SN-RN row. Decompose or exclude the combined SN-RN row to avoid double-counting with nucleus ruber."
Nucleus ruber,Brainstem (midbrain),Human RN; Human SN-RN,Midbrain,Coarse-OK,YELLOW,"Direct RN component match, but Siletti also has a combined SN-RN row. Decompose or exclude the combined SN-RN row to avoid double-counting with substantia nigra."
Cerebellum,Cerebellum (whole),(not a measured Heiss data row),---,Header/Do not use,RED,"Do not treat as whole cerebellum. In Heiss Table 1, Cerebellum is a section heading. The reported cerebellar rows are cerebellar cortex, vermis, and nucleus dentatus cerebelli. The abstract's cerebellum value of 29.8 matches the cerebellar cortex value, not a whole-cerebellum aggregate."
Cerebellar cortex,Cerebellum (cortex only),Human CBL; Human CBV,Hindbrain (Cerebellum),Good,GREEN,"Heiss reports cerebellar cortex as a measured row. Match to cerebellar cortical Siletti labels CBL and CBV, excluding cerebellar deep nuclei."
Vermis,Cerebellum (vermis),Human CBV,Hindbrain (Cerebellum),Good,GREEN,Direct 1-to-1 match.
Nucleus dentatus cerebelli,Cerebellum (deep nuclei),Human CbDN,Hindbrain (Cerebellum),Subset/Coarse-OK,YELLOW,"Heiss reports dentate nucleus specifically. Siletti CbDN is broader if it aggregates all cerebellar deep nuclei, so this is a dentate-specific subset of the Siletti deep-nuclear category unless Siletti CbDN can be decomposed."
White matter,White matter,(none in Siletti),---,No,GREEN,"Heiss reports white-matter PET values, but the Siletti region set used here has no corresponding white-matter parcel. Drop from Heiss-Siletti regression."
Centrum semiovale,White matter,(none),---,No,GREEN,White matter only. No corresponding Siletti parcel in this mapping; drop from Heiss-Siletti regression.
Capsula interna,White matter,(none),---,No,GREEN,White matter only. No corresponding Siletti parcel in this mapping; drop from Heiss-Siletti regression.
