from,to,module,weight,rationale
Corpus geniculatum laterale,Area striata grey,visual,1,LGN to primary visual cortex thalamocortical visual pathway
Striatum,Pallidum,basal_ganglia,1,Canonical striatopallidal basal ganglia linkage
Striatum,Nucleus subthalamicus Luysi,basal_ganglia,1,Basal ganglia indirect and hyperdirect circuit membership
Pallidum,Nucleus subthalamicus Luysi,basal_ganglia,1,Reciprocal basal ganglia circuit coupling
Capsula interna,Striatum,basal_ganglia_white_matter,1,Internal capsule courses adjacent to and through basal ganglia territory
Capsula interna,Pallidum,basal_ganglia_white_matter,1,Projection fiber system coupled to basal ganglia territory
Amygdala,Hippocampus,limbic,1,Medial temporal limbic system coupling
Amygdala,Insular cortex (grey),limbic_interoceptive,1,"Salience, interoceptive, and affective coupling"
Hippocampus,Insular cortex (grey),limbic_interoceptive,1,Broader limbic and interoceptive association
Mesencephalon,Cerebellum,motor_hindbrain,1,Brainstem and cerebellar motor network coupling
Mesencephalon,Nucleus subthalamicus Luysi,basal_ganglia_midbrain,1,Midbrain and basal ganglia motor circuit coupling
Mesencephalon,Pallidum,basal_ganglia_midbrain,1,Midbrain and pallidal motor circuit coupling
