file,study,config_dir,in_manifest,category,deck_relevance
figs/s2/mean_brain_region_volumes_boxplot.jpg,s2,figs/s2,Y,manifest_output,yes (slide 30)
figs/s2/mean_brain_region_volumes_boxplot.pdf,s2,figs/s2,Y,manifest_output,yes (slide 30)
figs/s2/rCMRGlc_volume_change.jpg,s2,figs/s2,Y,manifest_output,yes (slide 31)
figs/s2/rCMRGlc_volume_change.pdf,s2,figs/s2,Y,manifest_output,yes (slide 31)
figs/s3/merged_all/phylo_gls_region_plots.pdf,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
figs/s3/merged_all/phylo_gls_region_plots_combined.jpg,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
figs/s3/merged_all/phylo_gls_region_plots_combined.pdf,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
figs/s3/merged_all/phylo_gls_region_plots_combined.png,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
figs/s3/merged_all/phylo_gls_region_plots_combined_mu_adjusted.jpg,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
figs/s3/merged_all/phylo_gls_region_plots_combined_mu_adjusted.pdf,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
figs/s3/merged_all/phylo_gls_region_plots_combined_mu_adjusted.png,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
figs/s3/merged_all/plot_human_brain_mosaicism.pdf,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
figs/s3/merged_all/plot_human_brain_mosaicism.png,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
figs/s3/merged_all/plot_human_brain_mosaicism_BM_only.pdf,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
figs/s3/merged_all/plot_human_brain_mosaicism_BM_only.png,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
figs/s3/merged_all/plot_human_brain_mosaicism_pagelML_BM.pdf,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
figs/s3/merged_all/plot_human_brain_mosaicism_pagelML_BM.png,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
figs/s3/merged_all/plot_linear_CI_BM_rCMRGlc.pdf,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
figs/s3/merged_all/plot_linear_CI_BM_rCMRGlc.png,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
figs/s3/merged_all/plot_linear_comparison_12way.jpg,s3,figs/s3/merged_all,N,script_output_untracked,no (diagnostic config sweep)
