Gene,Category
HK1,Glycolysis
HK2,Glycolysis
PFKM,Glycolysis
PFKP,Glycolysis
PKM,Glycolysis
LDHA,Glycolysis
LDHB,Glycolysis
COX4I1,Oxidative_Phosphorylation
COX5A,Oxidative_Phosphorylation
COX6C,Oxidative_Phosphorylation
ATP5F1A,Oxidative_Phosphorylation
ATP5F1B,Oxidative_Phosphorylation
ATP5F1C,Oxidative_Phosphorylation
NDUFA1,Oxidative_Phosphorylation
NDUFB1,Oxidative_Phosphorylation
SLC2A1,Glucose_Transport
SLC2A3,Glucose_Transport
SLC2A4,Glucose_Transport
TOMM20,Mitochondrial_Function
TIMM50,Mitochondrial_Function
VDAC1,Mitochondrial_Function
VDAC2,Mitochondrial_Function
SLC25A4,Mitochondrial_Function
SLC25A5,Mitochondrial_Function
SLC16A1,Lactate_Shuttle
SLC16A3,Lactate_Shuttle
SLC16A7,Lactate_Shuttle
FOS,Activity_Markers
JUN,Activity_Markers
ARC,Activity_Markers
EGR1,Activity_Markers
NPAS4,Activity_Markers
NR4A1,Activity_Markers
