tip,merge_sp,pooled
Alouatta_caraya,Alouatta caraya,FALSE
Ateles_geoffroyi,Ateles geoffroyi,FALSE
Avahi_laniger,Avahi laniger,FALSE
Callithrix_pygmaea,Callithrix pygmaea,FALSE
Cebus_albifrons,Cebus albifrons,FALSE
Cercocebus_agilis,Cercocebus agilis,FALSE
Cercopithecus_mitis,Cercopithecus mitis,FALSE
Colobus_angolensis,Colobus angolensis,FALSE
Galagoides_demidoff,Galagoides demidoff,FALSE
Gorilla_gorilla,Gorilla sp.,FALSE
Homo_sapiens,Homo sapiens,FALSE
Hylobates_lar,Hylobates lar,FALSE
Hylobates_muelleri,Hylobates muelleri,FALSE
Indri_indri,Indri indri,FALSE
Leontopithecus_rosalia,Leontopithecus rosalia,FALSE
Lophocebus_albigena,Lophocebus albigena,FALSE
Loris_tardigradus,Loris tardigradus,FALSE
Macaca_maura,Macaca maura,FALSE
Pan_paniscus,Pan paniscus,FALSE
Pan_troglodytes,Pan troglodytes,FALSE
Perodicticus_potto,Perodicticus potto,FALSE
Piliocolobus_badius,Piliocolobus badius,FALSE
Pithecia_pithecia,Pithecia pithecia,FALSE
Pongo_abelii,Pongo sp.,TRUE
Pongo_pygmaeus,Pongo sp.,TRUE
Saguinus_geoffroyi,Saguinus geoffroyi,FALSE
Saguinus_oedipus,Saguinus oedipus,FALSE
Symphalangus_syndactylus,Symphalangus syndactylus,FALSE
Trachypithecus_francoisi,Trachypithecus francoisi,FALSE
Varecia_variegata,Varecia variegata,FALSE
Alouatta_seniculus,Alouatta seniculus,FALSE
Aotus_trivirgatus,Aotus trivirgatus,FALSE
Avahi_occidentalis,Avahi occidentalis,FALSE
Callimico_goeldii,Callimico goeldii,FALSE
Callithrix_jacchus,Callithrix jacchus,FALSE
Cercopithecus_ascanius,Cercopithecus ascanius,FALSE
Cheirogaleus_major,Cheirogaleus major,FALSE
Cheirogaleus_medius,Cheirogaleus medius,FALSE
Daubentonia_madagascariensis,Daubentonia madagascariensis,FALSE
Erythrocebus_patas,Erythrocebus patas,FALSE
Eulemur_fulvus,Eulemur fulvus,FALSE
Galago_senegalensis,Galago senegalensis,FALSE
Lagothrix_lagotricha,Lagothrix lagothricha,FALSE
Lepilemur_ruficaudatus,Lepilemur ruficaudatus,FALSE
Macaca_fascicularis,Macaca fascicularis,FALSE
Macaca_mulatta,Macaca mulatta,FALSE
Microcebus_murinus,Microcebus murinus,FALSE
Miopithecus_talapoin,Miopithecus talapoin,FALSE
Nasalis_larvatus,Nasalis larvatus,FALSE
Nycticebus_coucang,Nycticebus coucang,FALSE
Otolemur_crassicaudatus,Otolemur crassicaudatus,FALSE
Papio_anubis,Papio anubis,FALSE
Pithecia_monachus,Pithecia monachus,FALSE
Plecturocebus_moloch,Callicebus moloch,FALSE
Propithecus_verreauxi,Propithecus verreauxi,FALSE
Pygathrix_nemaeus,Pygathrix nemaeus,FALSE
Saguinus_midas,Saguinus midas,FALSE
Saimiri_sciureus,Saimiri sciureus,FALSE
Tarsius_syrichta,Tarsius sp.,FALSE
