label,stephan_var,wide_var,unit_scale,role,model_stephan,model_wide,note
Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,predictor,Preferred_brain_volume,Preferred_brain_volume,raw: different constructs (net vs whole brain); model: the PGLS x-axis
Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,,,"VERIFIED 2026-08-19: 44/49 agree. 5 disagree (Pan troglodytes 250.7 vs 344.0 = 27% is the outlier); 4 of those already come from deSousa_etal_2013_Table1 in the merge, so this is a specimen-set/version difference, NOT laterality -- 2x-left does not reconcile them."
Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,,,
Pallidum,Pallidum,Pallidum_Vol.mm3,1,study3,,,
Neocortex white,NeoW_Frahm,Neocortex_white_matter_Vol.mm3,1,study3,,,
Insular cortex (grey),Total_insula_volume_L,Insula_left_Vol.mm3,1,study3,,,Stephan is LEFT only; Insula_Vol.mm3 is bilateral (~2x)
Nucleus subthalamicus Luysi,Nucleus_subthalamicus,Nucleus_subthalamicus_Vol.mm3,1,study3,,,
Capsula interna,Capsula_interna,Capsula_interna_Vol.mm3,1,study3,,,
Striatum,Striatum,Striatum_Vol.mm3,1,study3,,,
Area striata grey,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,1,study3,,,"VERIFIED 2026-08-19: mapping is correct for 40/45. Stephan = 2x mean of deSousa 2010 Table1 LEFT specimens. 5 hominoid cells disagree because the merge's bilateral term is won by Frahm 1984 (Pongo: Zilles 1988) -- deSousa 2010 enters the ledger ONLY as Area_striata_grey_matter_left_Vol.mm3, so it cannot win here. Merge-selection issue, not a data fault."
Neocortex grey,NeoG_Frahm,Neocortex_grey_matter_Vol.mm3,1,study3,,,
Mesencephalon,Mesencephalon,Mesencephalon_Vol.mm3,1,study3,,,
Cerebellum,Cerebellum,Cerebellum_Vol.mm3,1,study3,,,merge can take MacLeod 2003 over Stephan on recency
Hippocampus,Hippocampus,Hippocampus_Vol.mm3,1,study3,,,
Nucleus dentatus cerebelli,Lateral_cerebellar_nuclei,Lateral_cerebellar_nuclei_Vol.mm3,1,study3,,,
Body weight,Body_weight,Body_Mass.g,1,reference,,,
